word,example
Schokoladeneis,Hans und Jakob mögen aber Schokoldeneis lieber
lieber,Hans und Jakob mögen aber Schokoldeneis lieber
Vanilleeis,Peter mag auch Vanileeis.
tun,"Beate, was willst du tun?"
schwimmen,Luise will ach schwimmen gehen
Rad,Wir wollen Rad Fahren
Aufstehen,"Wir stehen früh auf, weil wir in die Schule gehen müssen."
früh,"Wir stehen früh auf, weil wir in die Schule gehen müssen."
weil,"Wir stehen früh auf, weil wir in die Schule gehen müssen."
abnehmen,"Ich esse nicht viel, weil ich abnehmen möchte."
treiben,"Er treibt Sport, da er fit sein will"
ziehen,"Sie ziehen an den Bodensee, weil sie da immer schwimmen können."
schwimmen,"Sie ziehen an den Bodensee, weil sie da immer schwimmen können."
Lotte,"Lotte muss viel lernen, wenn sie die Prüfung bestehen will."
Prüfung,"Lotte muss viel lernen, wenn sie die Prüfung bestehen will."
bestehen,"Lotte muss viel lernen, wenn sie die Prüfung bestehen will."
still,"Es muss still sein, damit das Kind schlafen kann"
dumm,"Anton lernt viel, weil er nicht dumm bleiben will."
